assignment,id,date,time1,ampm
8,29,5/18/2011,11:31,PM
8,14,5/18/2011,11:37,PM
8,24,5/18/2011,11:46,PM
8,50,5/18/2011,11:52,PM
8,11,5/18/2011,11:56,PM
8,10,5/18/2011,11:59,PM
8,34,5/19/2011,12:03,AM
8,51,5/19/2011,12:23,AM
8,8,5/19/2011,12:23,AM
8,30,5/19/2011,12:26,AM
8,5,5/19/2011,12:33,AM
8,48,5/19/2011,12:57,AM
8,46,5/19/2011,1:03,AM
8,57,5/19/2011,1:43,AM
8,17,5/19/2011,2:10,AM
8,39,5/19/2011,2:36,AM
8,38,5/19/2011,2:43,AM
8,63,5/19/2011,2:48,AM
8,59,5/19/2011,2:58,AM
8,42,5/19/2011,3:27,AM
8,54,5/19/2011,3:35,AM
8,13,5/19/2011,3:51,AM
8,35,5/19/2011,4:01,AM
8,37,5/19/2011,4:41,AM
8,4,5/19/2011,5:12,AM
8,9,5/19/2011,5:33,AM
8,53,5/19/2011,5:35,AM
8,25,5/19/2011,5:39,AM
8,43,5/19/2011,6:02,AM
8,33,5/19/2011,7:39,AM
8,52,5/19/2011,8:23,AM
8,56,5/19/2011,8:27,AM
8,62,5/19/2011,8:27,AM
8,40,5/19/2011,8:30,AM
8,47,5/19/2011,8:39,AM
8,41,5/19/2011,8:42,AM
8,31,5/19/2011,8:46,AM
8,58,5/19/2011,8:55,AM
8,6,5/19/2011,8:56,AM
8,45,5/19/2011,8:59,AM
8,31,5/19/2011,9:09,AM
8,3,5/19/2011,10:12,AM
8,12,5/19/2011,12:29,PM
8,60,5/19/2011,3:59,PM
8,60,5/19/2011,4:42,PM
8,60,5/19/2011,10:17,PM
8,21,5/20/2011,9:05,AM
8,12,5/26/2011,12:00,PM
9,prof,5/17/2011,8:50,AM
9,18,5/24/2011,1:28,PM
9,61,5/24/2011,4:25,PM
9,7,5/24/2011,5:19,PM
9,2,5/24/2011,6:21,PM
9,5,5/24/2011,9:45,PM
9,53,5/25/2011,1:17,AM
9,22,5/25/2011,4:39,PM
9,16,5/25/2011,5:05,PM
9,14,5/25/2011,7:26,PM
9,19,5/25/2011,8:18,PM
9,20,5/25/2011,8:28,PM
9,10,5/25/2011,8:41,PM
9,54,5/25/2011,9:24,PM
9,39,5/25/2011,9:48,PM
9,24,5/25/2011,9:49,PM
9,42,5/25/2011,10:27,PM
9,28,5/25/2011,10:33,PM
9,50,5/25/2011,11:45,PM
9,57,5/25/2011,11:52,PM
9,29,5/26/2011,12:06,AM
9,51,5/26/2011,12:12,AM
9,51,5/26/2011,12:17,AM
9,30,5/26/2011,12:18,AM
9,35,5/26/2011,12:21,AM
9,8,5/26/2011,12:33,AM
9,11,5/26/2011,12:43,AM
9,47,5/26/2011,12:58,AM
9,38,5/26/2011,1:14,AM
9,46,5/26/2011,1:40,AM
9,17,5/26/2011,2:44,AM
9,59,5/26/2011,2:55,AM
9,36,5/26/2011,3:32,AM
9,62,5/26/2011,3:59,AM
9,48,5/26/2011,4:10,AM
9,25,5/26/2011,4:29,AM
9,63,5/26/2011,4:33,AM
9,33,5/26/2011,4:52,AM
9,40,5/26/2011,7:15,AM
9,9,5/26/2011,7:29,AM
9,43,5/26/2011,7:39,AM
9,56,5/26/2011,7:51,AM
9,58,5/26/2011,8:11,AM
9,31,5/26/2011,8:26,AM
9,60,5/26/2011,8:29,AM
9,45,5/26/2011,8:48,AM
9,37,5/26/2011,8:48,AM
9,52,5/26/2011,9:00,AM
9,6,5/26/2011,9:01,AM
9,4,5/26/2011,9:01,AM
9,4,5/26/2011,9:02,AM
9,41,5/26/2011,9:03,AM
9,34,5/26/2011,9:45,AM
9,3,5/26/2011,10:49,AM
9,21,5/28/2011,7:52,PM
9,49,5/31/2011,10:25,AM
10,prof,5/17/2011,8:51,AM
10,2,5/30/2011,8:01,PM
10,34,5/30/2011,8:25,PM
10,16,5/30/2011,9:49,PM
10,20,5/30/2011,9:55,PM
10,18,5/30/2011,10:07,PM
10,50,5/30/2011,11:47,PM
10,61,5/31/2011,12:58,AM
10,24,5/31/2011,2:26,AM
10,19,5/31/2011,2:46,AM
10,9,5/31/2011,2:52,AM
10,43,5/31/2011,4:21,AM
10,38,5/31/2011,4:27,AM
10,63,5/31/2011,5:28,AM
10,6,5/31/2011,5:28,AM
10,41,5/31/2011,9:10,AM
10,56,5/31/2011,4:17,PM
10,7,5/31/2011,5:45,PM
10,30,5/31/2011,7:03,PM
10,10,5/31/2011,7:25,PM
10,8,5/31/2011,9:56,PM
10,54,5/31/2011,11:10,PM
10,17,5/31/2011,11:23,PM
10,51,5/31/2011,11:55,PM
10,53,6/1/2011,12:49,AM
10,45,6/1/2011,1:05,AM
10,29,6/1/2011,2:32,AM
10,21,6/1/2011,6:31,AM
10,37,6/1/2011,8:48,AM
10,62,6/1/2011,8:56,AM
10,28,6/1/2011,1:09,PM
10,22,6/1/2011,1:48,PM
10,14,6/1/2011,10:58,PM
10,5,6/1/2011,11:14,PM
10,5,6/1/2011,11:33,PM
10,42,6/1/2011,11:38,PM
10,57,6/1/2011,11:48,PM
10,35,6/1/2011,11:51,PM
10,47,6/2/2011,12:08,AM
10,9,6/2/2011,12:33,AM
10,11,6/2/2011,12:37,AM
10,46,6/2/2011,1:04,AM
10,59,6/2/2011,3:20,AM
10,25,6/2/2011,3:55,AM
10,31,6/2/2011,4:47,AM
10,40,6/2/2011,7:52,AM
10,39,6/2/2011,8:42,AM
10,4,6/2/2011,8:53,AM
10,52,6/2/2011,8:59,AM
10,33,6/2/2011,11:13,AM
10,33,6/2/2011,11:14,AM
10,3,6/2/2011,1:24,PM
10,48,6/2/2011,2:05,PM
10,60,6/2/2011,2:47,PM
10,12,6/2/2011,3:54,PM
